User_ID,Time_Lapse(ms),Time(epoch),Left_Height(Norm),Right_Height(Norm),Left_Height(Raw),Right_Height(Raw)
0,11392,1642157322696,[ 0.01708984 -2.10961914],[-0.01586914  2.20935059],[-0.04162598  2.00958252],[ 2.21850586 -4.50622559]
0,11544,1642157322848,[ 0.01519775 -0.00151062],[-1.07122803 -1.07546997],[1.05145264 0.01722717],[2.19714355 2.17723083]
0,11695,1642157322999,[2.14453125 0.00567627],[-0.03430176  0.00228882],[-2.1348877   0.05728149],[ 0.00878906 -2.20901489]
0,11863,1642157323167,[-1.08569336 -0.00431824],[2.19677734 1.07368469],[ 2.19537354 -0.00968933],[-1.09558105 -1.05897522]
0,12053,1642157323357,[-0.00878906  1.05563354],[-2.18414307 -1.13261414],[1.15704346 0.0932312 ],[-3.34216309  1.12921143]
0,12207,1642157323511,[ 0.00341797 -1.04333496],[-0.01287842  0.03251648],[-1.11810303  1.04943848],[ 0.01678467 -0.01559448]
0,12361,1642157323665,[0.00671387 2.09158325],[-0.02502441 -2.22027588],[ 2.22265625 11.25137329],[6.61291504 6.59832764]
0,12511,1642157323815,[ 1.13201904 -1.05067444],[-0.00543213  0.04049683],[2.22808838 6.76002502],[-1.09051514 -1.08737183]
0,12665,1642157323969,[ 8.87976074 -0.03387451],[-4.48071289  4.39083862],[2.30383301 9.02151489],[-2.36083984  6.73791504]
0,12847,1642157324151,[-4.47802734 -1.04998779],[2.23797607 0.03065491],[-3.35308838 10.04725647],[ 3.42779541 11.26704407]
0,13011,1642157324315,[ 1.11578369 -0.07460022],[-0.00244141  1.0944519 ],[-4.46148682  8.98278809],[3.32965088 8.91339111]
0,13164,1642157324468,[-4.38964844  0.11669922],[ 0.09887695 -2.18228149],[-0.13269043 -6.84118652],[ 2.20959473 -2.21676636]
0,13347,1642157324651,[ 1.10827637 -0.0422821 ],[-1.10943604  0.00645447],[-5.55718994  2.38972473],[1.19470215 1.13009644]
